Year, Month, Day, Hour, Minute, weekday, User, a0, b00, b01, b10, b11, hum, lum, temp_e presence, temp_i, lum_i
2016,10,19,19,16,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,16,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,16,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,16,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,16,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,16,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,17,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,17,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,17,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,17,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,17,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,17,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,18,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,18,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,18,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,18,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,18,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,18,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,19,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,19,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,19,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,19,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,19,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,19,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,20,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,20,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,20,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,20,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,20,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,20,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,21,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,21,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,21,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,21,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,21,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,21,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
